Threads,Resolution,Iterations,Width,Height,Total size,Execution time [ms],Writing to file [ms],Total time [ms],Execution time [%],Writing to file [%],Speedup,Efficiency,Total speedup,Total efficiency
sequential,6000,500,18000,12000,216000000,61797,6546,68343,0.90422,0.09578,,,,
1,6000,500,18000,12000,216000000,58039,6644,64683,0.89728,0.10272,1.06475,1.06475,1.05658,1.05658
2,6000,500,18000,12000,216000000,29106,6632,35738,0.81443,0.18557,2.12317,1.06159,1.91233,0.95617
5,6000,500,18000,12000,216000000,23672,6678,30350,0.77997,0.22003,2.61055,0.52211,2.25183,0.45037
10,6000,500,18000,12000,216000000,11810,6670,18480,0.63907,0.36093,5.23260,0.52326,3.69821,0.36982
20,6000,500,18000,12000,216000000,7450,6605,14055,0.53006,0.46994,8.29490,0.41474,4.86254,0.24313
40,6000,500,18000,12000,216000000,5199,6756,11955,0.43488,0.56512,11.88632,0.29716,5.71669,0.14292
60,6000,500,18000,12000,216000000,5170,6605,11775,0.43907,0.56093,11.95300,0.19922,5.80408,0.09673
100,6000,500,18000,12000,216000000,4766,6633,11399,0.41811,0.58189,12.96622,0.12966,5.99553,0.05996
sequential,6500,500,19500,13000,253500000,74716,7731,82447,0.90623,0.09377,,,,
1,6500,500,19500,13000,253500000,68074,7748,75822,0.89781,0.10219,1.09757,1.09757,1.08738,1.08738
2,6500,500,19500,13000,253500000,34098,7667,41765,0.81643,0.18357,2.19121,1.09561,1.97407,0.98703
5,6500,500,19500,13000,253500000,27463,7791,35254,0.77900,0.22100,2.72061,0.54412,2.33866,0.46773
10,6500,500,19500,13000,253500000,13842,7771,21613,0.64045,0.35955,5.39777,0.53978,3.81469,0.38147
20,6500,500,19500,13000,253500000,9461,7732,17193,0.55028,0.44972,7.89726,0.39486,4.79538,0.23977
40,6500,500,19500,13000,253500000,6567,7788,14355,0.45747,0.54253,11.37749,0.28444,5.74343,0.14359
60,6500,500,19500,13000,253500000,5972,7621,13593,0.43934,0.56066,12.51105,0.20852,6.06540,0.10109
100,6500,500,19500,13000,253500000,5226,7759,12985,0.40246,0.59754,14.29698,0.14297,6.34940,0.06349
sequential,7500,500,22500,15000,337500000,97026,10142,107168,0.90536,0.09464,,,,
1,7500,500,22500,15000,337500000,91279,10388,101667,0.89782,0.10218,1.06296,1.06296,1.05411,1.05411
